Rang,Tendenz,Stadt,Gesamt,"Interne Prozesse","Bürgeramt","Online-Terminvergabe","Online-Dienstleistungen","Bürgerinformationen","Social-Media-Präsenz","City-App","Weitere Pilotprojekte"
53,↓,-26,Wiesbaden,"52,11","75,00","0,00","70,83","91,74","45,41","100,00","0,00","0,00"
54,↘,-2,Bremen,"51,84","87,50","10,34","55,83","53,72","73,65","100,00","0,00","0,00"
55,↓,-37,Magdeburg,"51,70","75,00","79,31","68,33","25,62","51,38","80,33","0,00","0,00"
56,↑,+16,Hagen,"51,49","75,00","72,41","50,00","61,16","16,21","80,33","0,00","23,33"
57,↓,-33,Mönchengladbach,"51,28","87,50","3,45","83,33","79,34","21,07","67,21","0,00","35,00"
58,↓,-46,Nürnberg,"51,13","50,00","65,52","66,67","74,38","33,80","73,77","0,00","11,66"
59,↘,-5,Erlangen,"49,86","100,00","65,52","1,67","49,59","49,73","100,00","0,00","0,00"
60,↑,+19,Recklinghausen,"49,69","87,50","0,00","20,83","58,68","24,88","100,00","50,00","23,33"
61,↑,+7,Bremerhaven,"46,72","65,00","37,93","66,67","37,19","49,74","86,89","0,00","0,00"
62,↑,+9,Chemnitz,"46,40","87,50","10,34","12,50","17,36","39,47","67,21","83,33","23,33"
63,↓,-35,Gütersloh,"46,37","25,00","41,38","50,00","90,91","33,54","100,00","0,00","0,00"
64,↘,-2,Pforzheim,"45,93","75,00","37,93","66,67","25,62","22,16","86,89","0,00","23,33"
65,↓,-16,"Ludwigshafen am Rhein","45,44","100,00","24,14","50,00","42,15","30,81","86,89","0,00","0,00"
66,↓,-10,Reutlingen,"43,16","75,00","13,79","16,67","41,32","33,54","86,89","50,00","0,00"
67,↓,-32,Herne,"42,79","75,00","0,00","66,67","20,66","24,88","60,66","66,67","0,00"
68,↑,+7,Rostock,"42,33","37,50","37,93","66,67","62,81","33,54","39,34","33,33","0,00"
69,↓,-8,Hildesheim,"40,18","50,00","13,79","62,50","47,93","11,88","47,54","50,00","11,66"
70,↑,+6,Remscheid,"37,94","40,00","24,14","68,33","53,72","10,26","54,10","16,67","11,66"
71,↑,+7,Oberhausen,"35,96","75,00","10,34","1,67","83,47","12,97","47,54","33,33","0,00"
72,↓,-25,Krefeld,"35,73","75,00","10,34","16,67","52,07","21,64","86,89","0,00","0,00"
73,↓,-7,Siegen,"35,48","37,50","65,52","0,00","57,85","12,99","86,89","0,00","0,00"
74,↓,-9,Neuss,"35,26","37,50","24,14","50,00","42,15","57,85","47,54","0,00","0,00"
75,↘,-1,"Mülheim an der Ruhr","34,09","12,50","0,00","50,00","58,68","30,83","86,89","0,00","11,66"
76,↓,-35,Moers,"33,95","50,00","0,00","50,00","36,36","14,61","86,89","0,00","11,66"
77,↓,-22,Oldenburg,"33,02","50,00","0,00","50,00","43,80","51,38","47,54","0,00","0,00"
78,↗,+3,Bergisch Gladbach,"31,15","50,00","6,90","51,67","29,75","56,23","34,43","0,00","0,00"
79,↓,-9,Regensburg,"29,40","75,00","10,34","1,67","42,15","0,01","86,89","0,00","0,00"
80,↓,-13,Leverkusen,"29,34","25,00","44,83","50,00","42,15","22,16","8,20","0,00","23,33"
81,↘,-1,Salzgitter,"18,05","0,00","0,00","16,67","27,27","28,10","60,66","0,00","0,00"
