Rang,Tendenz,"Unterschied Vorjahr",Stadt,Gesamt,Bürgerbeteiligung,"FabLabs und Coworking",Digital-Szene,Open-Data-Plattform,Geodatenportal,"Smart Culture","Lokaler Handel und Startup-Hubs","Weitere Pilotprojekte"
62,↓,-26,Siegen,"35,60","0,00","62,50","33,33","0,00","37,50","33,33","95,00","0,00"
63,→,0,Göttingen,"35,41","43,59","50,00","33,33","0,00","50,00","33,33","50,00","0,00"
64,↓,-16,"Mülheim an der Ruhr","33,67","66,67","12,50","0,00","60,00","50,00","33,33","25,00","0,00"
65,↑,+11,Hagen,"32,99","16,67","37,50","0,00","50,00","75,00","0,00","40,00","23,33"
66,↓,-17,Neuss,"32,71","0,00","50,00","26,67","70,00","87,50","0,00","6,25","0,00"
67,↓,-17,Bottrop,"32,54","16,67","50,00","0,00","60,00","62,50","0,00","50,00","0,00"
68,↗,+4,"Ludwigshafen am Rhein","31,94","56,41","75,00","0,00","0,00","0,00","66,67","25,00","11,66"
69,↘,-5,Herne,"30,50","0,00","0,00","0,00","70,00","87,50","66,67","0,00","0,00"
70,↘,-2,Saarbrücken,"29,71","0,00","75,00","60,00","0,00","0,00","33,33","50,00","0,00"
71,↘,-2,Fürth,"29,70","0,00","100,00","0,00","0,00","50,00","0,00","45,00","23,33"
72,↓,-21,Leverkusen,"28,61","60,26","62,50","0,00","0,00","62,50","0,00","25,00","0,00"
73,↘,-2,Reutlingen,"27,66","0,00","0,00","0,00","0,00","75,00","66,67","50,00","11,66"
74,↓,-21,Moers,"26,87","0,00","12,50","0,00","90,00","50,00","33,33","0,00","11,66"
75,↓,-37,Hamm,"25,25","23,08","62,50","0,00","0,00","50,00","0,00","50,00","0,00"
