Rang,Tendenz,"Unterschied Vorjahr",Stadt,Gesamt,"Interne Prozesse",Payment,Online-Terminvergabe,Online-Dienstleistungen,"Webseite und Social Media",Bevölkerungsanliegen,Service-Portal,"weitere Pilotprojekte"
34,↓,-29,Düsseldorf,"64,77","87,5","44,44","40,82","59,22","71,88","67,95","92,59","11,66"
35,↑,37,Krefeld,"64,64",75,"92,59","51,02","51,46","48,46","70,83","74,07","11,66"
36,↘,-3,Bottrop,"64,41",75,"74,07","40,82","55,34","62,52","42,31",100,"23,33"
37,↓,-13,Mainz,"64,1","87,5",100,"59,18","64,08","46,9","67,95","22,22","23,33"
38,↑,14,Heilbronn,63,"87,5","41,67","63,27","68,93","60,96","66,67","74,07",0
39,↓,-10,"Offenbach am Main","62,95",75,"74,07","45,92","82,52","82,82","87,5","14,81",0
40,↑,7,Leipzig,"62,62",75,"37,04",100,"15,53","51,97","83,33","74,07","23,33"
41,↑,7,Hamm,"61,6",75,"92,59",0,"74,76","50,02","51,28","74,07",35
42,↓,-6,Trier,"61,44",75,"74,07","59,18","66,02","50,81",100,"14,81","11,66"
43,↓,-35,Braunschweig,"60,78",75,"92,59","47,96","51,46","62,52","83,33","22,22","11,66"
44,↘,-1,Ulm,"60,12",75,"18,52","61,22","33,98","85,94","66,67","88,89","11,66"
45,↓,-18,Saarbrücken,"60,09",50,0,"61,22",100,"62,52","67,95",100,0
46,↓,-37,Münster,"59,38",75,"74,07","64,29","72,82","51,57","67,95","7,41","23,33"
47,↓,-26,Wolfsburg,"59,3",100,"74,07","61,22","36,89","68,77","87,5","7,41",0
48,↑,15,Gütersloh,"56,92",75,"74,07","8,16","80,58","73,45","25,64","81,48",0
49,↓,-14,Jena,"56,78",75,"77,78","64,29","46,6","56,24","66,67","7,41","23,33"
50,↓,-24,Kaiserslautern,"56,74",75,"55,56","42,86","46,6","40,64","58,97","74,07","23,33"
51,↑,15,Reutlingen,"56,72",75,"7,41","79,59","42,23","68,77","51,28","92,59",0
52,↑,13,"Ludwigshafen am Rhein","56,58",100,"92,59","48,98","30,1","37,5","83,33",0,"23,33"
53,↓,-23,Kiel,"56,57",75,0,"44,9","20,39","78,13",100,"74,07","23,33"
54,↑,23,Oldenburg,"54,7",75,"92,59","59,18","70,87","47,27","42,31","14,81",0
55,↗,1,Hagen,"54,61",75,"74,07","61,22","72,82","32,81","58,97","14,81","11,66"
56,↓,-28,"Frankfurt am Main","54,39",50,"92,59","42,86","78,64","37,5","83,33","14,81",0
57,↑,14,Oberhausen,"54,25",75,"37,04","38,78","72,82","31,27","51,28","92,59",0
58,↓,-18,Koblenz,"53,54",75,"81,48","38,78","44,66","50,02","29,49","74,07",0
59,↗,5,Pforzheim,"52,72",75,"92,59","40,82","44,66","64,08","51,28","7,41","11,66"
60,↑,19,Regensburg,"51,8","87,5","74,07","4,08","39,81","59,37",0,"92,59","23,33"
61,↓,-38,Solingen,"51,73","87,5","74,07","54,08","21,36","32,83","67,95","7,41",35
62,↓,-17,Göttingen,"50,97",100,"74,07","44,9","14,56","34,4","83,33",0,"23,33"
63,↘,-4,Erlangen,"50,85",100,"74,07","18,37","66,99","81,25","25,64","7,41",0
64,↓,-10,Bremen,"50,63","87,5","18,52","63,27","53,4","84,38","57,69","7,41",0
65,↓,-14,Lübeck,"50,59",75,"3,7",100,"34,95","31,26","29,49","74,07","23,33"
66,↑,7,Siegen,"49,47","37,5","92,59","23,47","67,96","31,24","25,64","85,19",0
67,↓,-12,Magdeburg,"48,95",75,"74,07","42,86","0,97","68,76","83,33","14,81",0
68,↓,-7,Bremerhaven,"48,49",75,"55,56","40,82","14,56","79,7","83,33","7,41",0
69,↓,-51,Potsdam,"47,23",75,0,"61,22","53,4","59,39","83,33","14,81",0
70,↓,-21,Hannover,"45,61",75,"37,04","63,27","49,51","43,74","66,67",0,0
71,↓,-33,Erfurt,"44,79","87,5","74,07","59,18","59,22","34,38",0,"14,81",0
72,↓,-50,"Halle (Saale)","44,53",75,0,"79,59","49,51","25,03","83,33","14,81",0
73,↓,-6,Herne,"43,75",75,0,"40,82","39,81","50,02","66,67","25,93","23,33"
74,↘,-4,Remscheid,"43,53",50,"37,04","79,59","34,95","7,81","67,95","42,59",0
75,↓,-13,Chemnitz,"43,07","87,5","18,52","38,78","34,95","76,57","29,49","7,41","23,33"
76,↗,2,"Bergisch Gladbach","32,45",50,0,"79,59",0,"21,9","67,95","7,41","11,66"
77,↓,-8,Hildesheim,"31,3",75,0,"59,18","7,77","10,93","51,28","25,93",0
78,↘,-3,"Mülheim an der Ruhr","27,69","12,5","18,52","38,78","33,98","50,02","42,31","7,41",0
79,↗,2,Salzgitter,"26,28",0,0,100,"2,91","31,25","58,97",0,0
80,↘,-4,Moers,"26,15",50,"3,7","40,82","19,42","35,93","42,31",0,0
81,↘,-1,Leverkusen,"24,53",25,"18,52","38,78","22,33",0,"42,31","33,33",0
